Component,Path,Category,Priority,Status,Sprint,Touch_Targets,Virtualization,Modal_Pattern,Header_Pattern,Notes
"ActorCard","src/components/actors/ActorCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AdminBotImagesPanel","src/components/admin/AdminBotImagesPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"AdminSendMessageDialog","src/components/admin/AdminSendMessageDialog.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"AdminTrackDetailsDialog","src/components/admin/AdminTrackDetailsDialog.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"AdminUserCard","src/components/admin/AdminUserCard.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"AdminUserCreditsDialog","src/components/admin/AdminUserCreditsDialog.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"AdminUserSubscriptionDialog","src/components/admin/AdminUserSubscriptionDialog.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"AlertAnalyticsPanel","src/components/admin/AlertAnalyticsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"AlertHistoryPanel","src/components/admin/AlertHistoryPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"BlogEditor","src/components/admin/BlogEditor.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"BotMenuEditor","src/components/admin/BotMenuEditor.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"BotMenuItemForm","src/components/admin/BotMenuItemForm.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"BotMenuPreview","src/components/admin/BotMenuPreview.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"BroadcastPanel","src/components/admin/BroadcastPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"DeeplinkAnalyticsPanel","src/components/admin/DeeplinkAnalyticsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"EnhancedAnalyticsPanel","src/components/admin/EnhancedAnalyticsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"GenerationAnalyticsPanel","src/components/admin/GenerationAnalyticsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"GenerationLogsPanel","src/components/admin/GenerationLogsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"GenerationStatsPanel","src/components/admin/GenerationStatsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"HealthCheckPanel","src/components/admin/HealthCheckPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"MobileTelegramBotSettings","src/components/admin/MobileTelegramBotSettings.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"ModerationReportsPanel","src/components/admin/ModerationReportsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"PerformanceTab","src/components/admin/PerformanceTab.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"ReferenceAudioPlayer","src/components/admin/ReferenceAudioPlayer.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"StarsPaymentsPanel","src/components/admin/StarsPaymentsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"StatCard","src/components/admin/StatCard.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"SubscriptionTiersManager","src/components/admin/SubscriptionTiersManager.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"TelegramBotSettingsPanel","src/components/admin/TelegramBotSettingsPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"TelemetryDashboard","src/components/admin/TelemetryDashboard.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"UserBalancesPanel","src/components/admin/UserBalancesPanel.tsx","Admin","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"BeatGridVisualization","src/components/analysis/BeatGridVisualization.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ChordProgressionDisplay","src/components/analysis/ChordProgressionDisplay.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GuitarTabVisualization","src/components/analysis/GuitarTabVisualization.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"InteractivePianoRoll","src/components/analysis/InteractivePianoRoll.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileNotesViewer","src/components/analysis/MobileNotesViewer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PianoRollPreview","src/components/analysis/PianoRollPreview.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StaffNotation","src/components/analysis/StaffNotation.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StrummingPatternVisualization","src/components/analysis/StrummingPatternVisualization.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EngagementChart","src/components/analytics/EngagementChart.tsx","Other","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"GenreDistributionChart","src/components/analytics/GenreDistributionChart.tsx","Other","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"WeeklySummaryCard","src/components/analytics/WeeklySummaryCard.tsx","Other","P3","Pending","Sprint 4-5","Pending","N/A","N/A","N/A",""
"SubscriptionFeatureAnnouncement","src/components/announcements/SubscriptionFeatureAnnouncement.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ArtistAvatarUpload","src/components/artist/ArtistAvatarUpload.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ArtistDetailsPanel","src/components/artist/ArtistDetailsPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CreateArtistFromTrackDialog","src/components/artist/CreateArtistFromTrackDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EditArtistDialog","src/components/artist/EditArtistDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AudioRecordDialog","src/components/audio-record/AudioRecordDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CloudAudioPicker","src/components/audio-record/CloudAudioPicker.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"InstrumentalSettingsDialog","src/components/audio-record/InstrumentalSettingsDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AddVocalsToReferenceDialog","src/components/audio-reference/AddVocalsToReferenceDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CloudAudioSelector","src/components/audio-reference/CloudAudioSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ExtendRangeSelector","src/components/audio-reference/ExtendRangeSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ExtractLyricsButton","src/components/audio-reference/ExtractLyricsButton.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"InlineReferencePreview","src/components/audio-reference/InlineReferencePreview.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MiniWaveform","src/components/audio-reference/MiniWaveform.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReferenceActionsPanel","src/components/audio-reference/ReferenceActionsPanel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReferenceAnalysisDisplay","src/components/audio-reference/ReferenceAnalysisDisplay.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReferenceAudioPlayer","src/components/audio-reference/ReferenceAudioPlayer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReferenceDrawer","src/components/audio-reference/ReferenceDrawer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReferenceMidiSheet","src/components/audio-reference/ReferenceMidiSheet.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReferenceModeSelector","src/components/audio-reference/ReferenceModeSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReferenceStemPlayer","src/components/audio-reference/ReferenceStemPlayer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ComingSoonModal","src/components/beta/ComingSoonModal.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"BlogContentRenderer","src/components/blog/BlogContentRenderer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"BlogHeroSection","src/components/blog/BlogHeroSection.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"BlogPostCard","src/components/blog/BlogPostCard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"BlogSkeleton","src/components/blog/BlogSkeleton.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"RealtimeChordVisualizer","src/components/chord-detection/RealtimeChordVisualizer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CommentForm","src/components/comments/CommentForm.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CommentItem","src/components/comments/CommentItem.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CommentsList","src/components/comments/CommentsList.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ReportCommentDialog","src/components/comments/ReportCommentDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DetailSection","src/components/common/DetailSection.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"EmptyState","src/components/common/EmptyState.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerationAdvancedSettings","src/components/common/GenerationAdvancedSettings.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"InlineLyricsEditor","src/components/common/InlineLyricsEditor.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ResponsiveGrid","src/components/common/ResponsiveGrid.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SectionHeader","src/components/common/SectionHeader.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StatsGrid","src/components/common/StatsGrid.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UnifiedActionBar","src/components/common/UnifiedActionBar.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UnifiedFAB","src/components/common/UnifiedFAB.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UnifiedListRow","src/components/common/UnifiedListRow.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UnifiedPageHeader","src/components/common/UnifiedPageHeader.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ContentHubTabs","src/components/content-hub/ContentHubTabs.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"MobileProjectsToolbar","src/components/content-hub/MobileProjectsToolbar.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VirtualizedArtistsList","src/components/content-hub/VirtualizedArtistsList.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VirtualizedCloudList","src/components/content-hub/VirtualizedCloudList.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VirtualizedLyricsList","src/components/content-hub/VirtualizedLyricsList.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"VirtualizedProjectsList","src/components/content-hub/VirtualizedProjectsList.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ArtistsTab","src/components/content-hub/tabs/ArtistsTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CloudTab","src/components/content-hub/tabs/CloudTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsTab","src/components/content-hub/tabs/LyricsTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectsTab","src/components/content-hub/tabs/ProjectsTab.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AudioPoolMonitor","src/components/debug/AudioPoolMonitor.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SubscriptionRequiredDialog","src/components/dialogs/SubscriptionRequiredDialog.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumEffects","src/components/drum-machine/DrumEffects.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumKitSelector","src/components/drum-machine/DrumKitSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumMachine","src/components/drum-machine/DrumMachine.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumPadGrid","src/components/drum-machine/DrumPadGrid.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumRecorder","src/components/drum-machine/DrumRecorder.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumSequencer","src/components/drum-machine/DrumSequencer.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumStepLengthSelector","src/components/drum-machine/DrumStepLengthSelector.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PatternBank","src/components/drum-machine/PatternBank.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumMachineClean","src/components/drum-machine/pro/DrumMachineClean.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumMachinePro","src/components/drum-machine/pro/DrumMachinePro.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DrumPadsPro","src/components/drum-machine/pro/DrumPadsPro.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"KitSelectorPro","src/components/drum-machine/pro/KitSelectorPro.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PatternBrowser","src/components/drum-machine/pro/PatternBrowser.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SequencerPro","src/components/drum-machine/pro/SequencerPro.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TransportBar","src/components/drum-machine/pro/TransportBar.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DoubleTapLike","src/components/engagement/DoubleTapLike.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LikeButton","src/components/engagement/LikeButton.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LikeEncouragementToast","src/components/engagement/LikeEncouragementToast.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AchievementProgressWidget","src/components/gamification/AchievementProgressWidget.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AchievementUnlockNotification","src/components/gamification/AchievementUnlockNotification.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AchievementsList","src/components/gamification/AchievementsList.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CreditsBalance","src/components/gamification/CreditsBalance.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DailyCheckin","src/components/gamification/DailyCheckin.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DailyMissions","src/components/gamification/DailyMissions.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"DesktopRewardsLayout","src/components/gamification/DesktopRewardsLayout.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GamificationBar","src/components/gamification/GamificationBar.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GamificationOnboarding","src/components/gamification/GamificationOnboarding.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"Leaderboard","src/components/gamification/Leaderboard.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LeaderboardWidget","src/components/gamification/LeaderboardWidget.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LevelUpNotification","src/components/gamification/LevelUpNotification.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickStats","src/components/gamification/QuickStats.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"RewardCelebration","src/components/gamification/RewardCelebration.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SoundToggle","src/components/gamification/SoundToggle.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SpecialChallenges","src/components/gamification/SpecialChallenges.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"StreakCalendar","src/components/gamification/StreakCalendar.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"TransactionHistory","src/components/gamification/TransactionHistory.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"UserLevel","src/components/gamification/UserLevel.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"WeeklyChallenges","src/components/gamification/WeeklyChallenges.tsx","Other","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AILyricsAssistantDialog","src/components/generate-form/AILyricsAssistantDialog.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AILyricsWizard","src/components/generate-form/AILyricsWizard.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AdvancedSettings","src/components/generate-form/AdvancedSettings.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ArtistSelector","src/components/generate-form/ArtistSelector.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AudioActionDialog","src/components/generate-form/AudioActionDialog.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AudioReferenceUpload","src/components/generate-form/AudioReferenceUpload.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AudioTrimSelector","src/components/generate-form/AudioTrimSelector.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"AudioUploadActionDialog","src/components/generate-form/AudioUploadActionDialog.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"CollapsibleFormHeader","src/components/generate-form/CollapsibleFormHeader.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"FormFieldToolbar","src/components/generate-form/FormFieldToolbar.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"FormSection","src/components/generate-form/FormSection.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerateFormActions","src/components/generate-form/GenerateFormActions.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerateFormCustom","src/components/generate-form/GenerateFormCustom.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerateFormHint","src/components/generate-form/GenerateFormHint.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerateFormReferences","src/components/generate-form/GenerateFormReferences.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerateFormSimple","src/components/generate-form/GenerateFormSimple.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerationLoadingState","src/components/generate-form/GenerationLoadingState.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GenerationStepIndicator","src/components/generate-form/GenerationStepIndicator.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GuitarModeRecorder","src/components/generate-form/GuitarModeRecorder.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"GuitarRecordDialog","src/components/generate-form/GuitarRecordDialog.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsChatAssistant","src/components/generate-form/LyricsChatAssistant.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsVisualEditor","src/components/generate-form/LyricsVisualEditor.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"LyricsVisualEditorCompact","src/components/generate-form/LyricsVisualEditorCompact.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProjectTrackSelector","src/components/generate-form/ProjectTrackSelector.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"PromptHistory","src/components/generate-form/PromptHistory.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"ProviderSelector","src/components/generate-form/ProviderSelector.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"QuickGenerateMode","src/components/generate-form/QuickGenerateMode.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"RecordMelodyDialog","src/components/generate-form/RecordMelodyDialog.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SaveTemplateDialog","src/components/generate-form/SaveTemplateDialog.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
"SavedLyricsSelector","src/components/generate-form/SavedLyricsSelector.tsx","Forms","P2","Pending","Sprint 2-3","Pending","N/A","N/A","N/A",""
